Date,News 1,News 2,News 3,News 4,News 5,News 6,News 7,News 8,News 9,News 10
2025-12-11,Desperate to catch up with Chinese automakers Ford is redesigning its fleet with a Silicon Valley-style team. Is it too late?,It’s hard to make a movie studio tour exciting when movies aren’t made there anymore. “A vibe of tiredness like the end of something” one guest said.,President Trump wants substantially lower borrowing costs but officials at the central bank appear ready to resist delivering further cuts if the economic backdrop does not warrant it.,Shares in the technology company are down as investors grow anxious that its bet on artificial intelligence and OpenAI in particular may not pay off.,The monthly trade deficit fell to its lowest level in five years after the president’s imposition of sweeping global tariffs. But it’s unclear whether the trend will persist.,The Trump administration is threatening the Fed’s autonomy which the central bank regained with the Treasury-Fed accord in 1951.,The deal is a watershed for Hollywood which has been trying to sort through the possible harms and upsides of generative artificial intelligence.,A tangle of problems at IndiGo the dominant carrier resulted in gridlocked airports across the country. Worse it was the symptom of an even bigger problem.,A new technology release from OpenAI is supposed to top what Google recently produced. It also shows OpenAI is engaged in a new and more difficult competition.,Carl Erik Rinsch secured funding from the streaming company for a science-fiction series “Conquest” that was never completed.
2025-12-12,The loss of federal funding forced a difficult decision the executive director of Arkansas TV said: Cut PBS or go off the air entirely.,Harold Hamm an Oklahoma oil tycoon has played a central role in reshaping energy policy by allying himself with President Trump.,As more people tune in for the “theater” of high-end auctions Bonnie Brennan is trying to convert them into clients.,A retired lawyer lost the money in a tech support scam a type of online fraud that is surging. Citibank said it couldn’t recover the funds which criminals wired from inside his account.,Larry Ellison is backstopping Paramount’s bid for Warner Brothers but Warner Brothers is concerned that the billionaire has not provided a personal guarantee to pay.,Investment in manufacturing infrastructure and property is expected to fall this year a remarkable turn for an economy whose growth reshaped the world.,The Oracle co-founder has pledged billions to finance Paramount’s takeover bid for Warner Bros. Discovery — which has questions about his commitment.,Changes in the tax law will have different effects on people who take the standard deduction versus high earners who itemize.,Backed by White House officials the tech billionaire has lashed out at the European Union after his social media platform X was fined last week.,The U.S. seizure of a vessel off Venezuela is likely to squeeze the country’s government but do little to counter the tankers that secretively move oil from sanctioned countries.
2025-12-13,A sale of insider shares at $421 a share would make Mr. Musk’s rocket company the most valuable private company in the world as it readies for a possible initial public offering next year.,The benefits provide important economic support for older people who cannot work. The White House recently halted changes to the program that had worried some experts.,And now I’m dealing with the consequences.,The U.S. government has paused a tech-focused trade pledge with Britain over broader disagreements about Britain’s digital regulations and food safety rules.,,,,,,
2025-12-14,Rodney Brooks famous for the Roomba argues the humanoid robot craze in Silicon Valley is doomed to fail.,,,,,,,,,
2025-12-15,A broad measure of investment fell more than 10 percent in November continuing a recent reversal and signaling the depth of China’s property crisis.,Advocates fear damage to labor protections if the Supreme Court upholds the president’s move to control federal agency staffing.,Founded in 1990 by three M.I.T. researchers iRobot introduced its vacuum in 2002. Its restructuring will turn the company over to its largest creditor.,Elon Musk’s rocket and satellite giant is already planning a stock sale at an $800 billion valuation. Going public could put it in the trillion-dollar club.,Lightspeed Venture Partners a Silicon Valley venture firm has amassed more than $9 billion to invest in artificial intelligence. That is its biggest haul.,The data centers used for work on artificial intelligence can cost tens of billions to build. Tech giants are finding ways to avoid being on the hook for some of those costs.,Brian McGrory led the news organization for a decade until he departed in early 2023.,Ford Motor said the costs came from its decision to make fewer electric vehicles than it had planned and more hybrids that use both gasoline engines and batteries.,,
2025-12-16,He was a familiar byline in Newsweek and The Washington Post for decades explaining the intricacies of economic policy in reader-friendly vernacular.,The auto giant stopped making cars at the plant in Dresden which opened in 2001 as it faces weaker demand and steep U.S. tariffs.,Employers added 64000 jobs in November according to data delayed by the government shutdown but the unemployment rate rose to a four-year high of 4.6 percent.,Three Democrats are seeking information from tech firms about the growing energy use of data centers and the utility bills of individuals and other businesses.,November’s job report may be distorted as a result of the government shutdown limiting how much it will influence the Federal Reserve’s next interest rate decision in January.,A backlog of government economic data is set to ease but disagreement on the country’s economic outlook could linger.,The streaming service now has more than 30 video podcasts lined up for 2026 including the influential radio show “The Breakfast Club.”,A proposal to revise an E.U. law requiring carmakers to stop producing combustion engines by 2035 would offer some relief to automakers but it sets back the region’s climate goals.,In a lawsuit the state’s attorney general Letitia James said UPS had “repeatedly and persistently” failed to pay seasonal workers for all of the time they spent on the job.,What to know about the report.
2025-12-17,BYD Chery and other Chinese automakers are winning over drivers in Britain where tariffs are low and buyers are open to new brands.,The Chinese government is betting that robots will drive economic growth. But the bots can’t really do much yet.,A boundary-pushing array of new crypto ventures have reached the stock market enticing investors and leading to more risk taking.,Colder weather and rising electricity and fuel costs will lead to a big jump in costs for individuals according to estimates from a group representing state energy officials.,The claim was made as part of Warner Bros. Discovery’s dismissal of Paramount’s hostile takeover offer.,The media company formally rejected a hostile takeover bid by Paramount and questioned the purported political advantages held by its unwanted suitor.,The scope of President Trump’s blockade against ships carrying oil from Venezuela was not clear on Wednesday.,The Academy of Motion Picture Arts and Sciences said it had reached a deal with YouTube for exclusive rights to the show starting in 2029.,Federal prosecutors filed criminal fraud charges against two top executives at Tricolor Auto and two other executives have already pleaded guilty to related charges.,The comment from Brendan Carr a Republican raised concerns from lawmakers about how President Trump might use the agency.
2025-12-18,Beijing is using its messaging tools to show off its prowess at building infrastructure and project power taking advantage of what it says is “deep anxiety” in U.S. policies.,Meg O’Neill of Australia’s Woodside Energy will lead the British energy giant replacing Murray Auchincloss who will exit after less than two years in the role.,Mr. Musk has ambitions to remake education but his latest effort to open an elementary school in Texas appears to have faltered.,Early decision isn’t just for the rich as long as people with lower incomes can get accurate price quotes before agreeing to attend if they get in.,Data collection issues skewed the latest Consumer Price Index report economists warned clouding the picture for the Federal Reserve as it also grapples with a cooling labor market.,Britain’s central bank reduced interest rates to 3.75 percent a move that was welcomed by the government which has been looking to lower the high cost of living.,The Swedish company is now valued at $6.6 billion more than triple its $1.8 billion valuation set by investors in July.,The president promoted his economic accomplishments in a defiant address. But some voters are feeling the pinch of stubborn inflation and a cooling labor market.,Trump Media & Technology Group the social media and crypto company part owned by President Trump said it would help develop a “utility-scale fusion power plant.”,Factorial the start-up said the listing would provide money that would help it bring new solid-state batteries to market as soon as 2027.
2025-12-19,The Bank of Japan moved to slow inflation as the prime minister is borrowing more to fund an ambitious effort to build up industry and support households.,A reordering of the rules of trade set on top of transformational change in technology demographics and climate is remaking jobs politics and lives.,A.I. chatbots have been designed to behave in a humanlike way. Some experts think that’s a terrible idea.,Wall Street stock gurus are making predictions again. Our columnist got into the game with a number he doesn’t believe.,What started as a term to describe the pandemic recovery has become a catchall in these anxious economic times.,The president’s paper wealth soared on news that the company behind Truth Social has agreed to merge with a fusion start-up. But China is way ahead in the funding race to commercialize the technology.,Trump Media plans to merge with a company developing nuclear fusion technology putting the president’s financial interests in competition with other energy companies over which his administration holds sway.,Regulators will decide whether a merger of Union Pacific and Norfolk Southern would improve shipment times or stifle competition. A decision is expected in 2027.,Tree farmers and the marketing group that supports them want more Americans to buy live-cut trees. A new Home Depot ad gave them holiday hope.,The basketball league will require teams to submit injury reports closer to tipoff an attempt to close one source of inside information.
2025-12-20,In trying to help grown children parents can hurt their own retirement security. Here’s how to stop the flow of money.,President Trump’s trade policy inflation and climbing stock prices shaped business and the economy this year.,,,,,,,,
2025-12-21,President Trump dominates our collective consciousness. The Times broke down how he has relentlessly pursued attention in the first 329 days of his second term.,Two high-profile crashes and a Trump administration crackdown have brought worry and wariness to the community.,Inside a tornado-hardened office in Texas 1700 American Airlines employees manage the carrier’s operations responding to bad weather plane trouble and ailing passengers.,Ynon Kreiz the chief executive of Mattel believes consumers squeezed by tariffs and inflation will cut back on other things before they skimp on Barbies and Hot Wheels.,“Avatar: Fire and Ash” took in $88 million over the weekend a sizable No. 1 total that nonetheless fell 34 percent behind the opening for its franchise predecessor.,,,,,
2025-12-22,Sharyn Alfonsi a “60 Minutes” correspondent criticized the network’s decision to remove her reporting from Sunday’s edition of the show.,For several months we have been investigating sexual violence during Uber and Lyft rides which is far more pervasive than publicly disclosed. Now we need your help.,The ride-hailing giant’s background check process was intended to speed drivers onto its network while keeping costs down internal documents show.,The 29-year-old woman who created the “MyBoyfriendIsAI” community on Reddit isn’t dating (or sexting) her A.I. boyfriend anymore. She found something more fulfilling.,A feared recession didn’t materialize but unemployment rose wage growth slowed and affordability challenges are mounting.,It was a comeback year for I.P.O.s. and mergers and acquisitions. Wall Street is optimistic that the winning streak will continue.,Bondholders for one of China’s biggest real estate developers extended a grace period to negotiate a delayed repayment of a $285 million bond issue.,Mr. Ellison’s personal guarantee is meant to address concerns that the Warner Bros. Discovery’s board had expressed about Paramount’s original offer.,America’s ability to make precision-guided missiles was threatened during Trump’s tariff war. But experienced players have rescued the supply chain for now.,JPMorgan has had to pay tens of millions in legal costs for the convicted fraudster. It wants the public to see a newly unredacted list of itemized expenses.
2025-12-23,Several veteran correspondents questioned how Ms. Weiss the new CBS News editor in chief had handled the segment after she defended her decision on a call with the newsroom.,After years of planning for cars that would let drivers take their hands off the wheel and eyes off the road China’s regulators have become more cautious.,As funds deliver mediocre returns and shed investors the industry is struggling to unload 31000 investments an increase over this time last year.,YouTube’s big streaming lead over Netflix and other competitors stems in large part to its dominance during daylight hours.,Consumers spent 3.9 percent more from Nov. 1 to Dec. 21 this year compared with last year according to a Mastercard report on holiday spending.,Big Tech’s huge investment in artificial intelligence is making investors nervous. But the technology continues to advance buoying the bulls.,Gross domestic product grew at a 4.3 percent annual rate faster than the previous three months.,Starting the week of Jan. 7 the Education Department will begin sending notices about paycheck deductions to about 1000 of five million borrowers in default.,At the last minute CBS News held a segment about Venezuelan men who were deported by the Trump administration to a prison in El Salvador. It surfaced online anyway.,
2025-12-24,The Trump administration citing “foreign censorship” imposed travel bans on experts involved in monitoring major tech platforms.,A preliminary injunction in federal court cited the First Amendment handing a win to tech companies like Apple and Google.,Buyout firms have struggled to sell companies they own and have instead found a workaround to get cash back to clients: Selling the companies to themselves.,Larry and David Ellison didn’t always have a close relationship. Now they’re one of the most intriguing partnerships in business.,Try these useful shortcuts for sharing your Wi-Fi with guests wrangling your to-do list or deciding what to do with family and friends.,The Trump administration said five regulators and researchers who work to tackle disinformation and abuse on the internet had been barred from entering the United States.,Despite recent volatility in the crypto market younger generations are still open to receiving digital currencies as gifts.,Recent U.S. actions against ships near Venezuela may embolden other countries to seize or detain ships legal experts said.,,
2025-12-25,Nvidia will license Groq’s technology and hire its top executives adding to the Silicon Valley giant’s heft in artificial intelligence chips.,New technologies are complicating efforts to teach the scrolling generation to think critically and defensively online.,Shares of Tesla have hit new highs on optimism about the company’s self-driving taxis. But experts say Tesla is far behind Waymo which has a big head start.,Prominent business and government figures spread rumors about the attack on Brown University’s campus this month reigniting questions about accountability in online discourse.,,,,,,
2025-12-26,They increasingly see themselves as rank-and-file workers who have traditional gripes with their companies.,Megacities in southern India are attracting enormous investments to help build artificial intelligence infrastructure to serve the world’s most data-hungry country.,Artificial intelligence companies looking to raise funds are being made to pay lofty interest rates as debt investors become cautious.,Only five Sears stores remain in the country with the end likely near for what was once the mightiest American retailer.,It’s uncertain whether the proposal will reach the statewide ballot in November but some billionaires like Peter Thiel and Larry Page may be unwilling to take the risk.,,,,,
2025-12-27,Plus the long-lost art of the direct confrontation.,The political polarization of battery-powered cars may have started when Toyota released its first hybrid model 25 years ago.,A new study suggests that distressed borrowers using a simpler bankruptcy process are succeeding — and that more people like them should try.,To avoid the ripple effects of real-time adjustments to what was predicted to be up to nine inches of snow the major airlines said they pre-emptively canceled flights.,,,,,,
2025-12-28,Riding an endless wave of nostalgia one company is exhuming the intellectual property of midcentury designers to create new audiences for forgotten work.,The Trump administration’s efforts to reduce the foreign-born population are being felt in hospitals and soccer leagues and on Main Streets across the country with hints of what’s to come.,The president has backed policies that allow the industry to grow unfettered. The mutually beneficial alliance is causing concern among some conservatives.,Under the shift which Google said would eventually be rolled out to all users old addresses would remain active. Messages and services would not be lost.,,,,,,
2025-12-29,Companies like Phoenix Tailings which recently began producing metal in New Hampshire are using new processing methods to compete with Chinese suppliers.,A growing body of research shows how pressure from overbearing coaches and parents is stunting children’s emotional well-being and leading to injuries.,The company monitors passenger feedback for risky driver behavior. Some accused of serious sexual assault had prior records of complaints.,Just like past tech booms the latest frenzy has produced a group of billionaires — at least on paper — from smaller start-ups.,Installed as an outsider he engineered a comeback shifting the company’s focus from a waning mainframe computer business toward consulting and services.,,,,,
2025-12-30,Katherine Maher has taken an unyielding approach to NPR’s biggest battles — which has sometimes put her at odds with her colleagues in public media.,Here’s a cheat sheet for decoding this year’s A.I.-driven tech lingo from RAG to superintelligence.,Making sure your furry friend’s nails and coat are groomed properly does not come cheap. As pet care costs continue to climb how are you keeping up?,The Trump administration had tried to defund the Consumer Financial Protection Bureau which acts as a guardrail for the safety of the financial system.,Officials at the central bank have splintered over whether rising unemployment or elevated inflation poses the bigger economic risk.,,,,,
2025-12-31,From Deng Xiaoping to Xi Jinping generations of Communist Party bosses and military leaders invested in a strategic but heavily polluting industry.,The S&P 500 gained 16.4 percent this year. But dependence on artificial intelligence remains a risk for 2026.,A video purporting to expose extensive fraud at child care centers in Minnesota shows the relationship between the Trump administration and self-described citizen journalists.,,,,,,,
2026-01-01,Beijing is using a ban on the humble mollusk to punish Japan over its apparent willingness to defend Taiwan.,Some tech leaders are concerned that the artificial intelligence race will exhaust available land and energy. The solution might lie in orbit.,Ticket sales in North America totaled $8.9 billion for the year up 2 percent from 2024. But the box office remains far below prepandemic levels.,,,,,,,
2026-01-02,F.C. Barcelona’s liabilities have reached 2.5 billion euros the result of financial mismanagement and vaulting ambition.,Some start-ups blurring the lines between home and office are embracing a “no shoes” policy.,More governments are rolling out chatbots in schools. Some experts warn the tools could erode teaching and learning.,Analysts have forecast more stellar gains for the S&P 500. But concerns about inflation the dollar and sky-high valuations could make for a choppy run.,Millions of borrowers who are behind can expect the government to tighten repayment options this year. Experts say take action now to get help.,As the largest maker of electric vehicles in the United States Tesla suffered more than other carmakers from the elimination of federal incentives.,He was a founder of More which skewered the foibles of the press in the 1970s and later wrote a critical biography of the psychoanalyst Bruno Bettelheim.,Saks Global’s executive chairman Richard Baker is taking over the luxury retailer he created with the 2024 acquisition of Neiman Marcus and Bergdorf Goodman.,The boutique chain’s co-founder Candace Nelson said that the business had ceased operations at year’s end. It was sold to a private equity firm more than a decade ago.,
2026-01-03,The gray-market drugs flooding Silicon Valley reveal a community that believes it can move faster than the F.D.A.,After spending nearly $50 billion to expand the country’s Tengiz oil field the American oil giant and its partners encounter more uncertainty.,As the new year begins savings have hit unprecedented levels but rising health care costs and growing poverty make retirement unaffordable for many.,Steep import taxes have raised prices and affected U.S. businesses but not quite as much as expected. A new report offers some reasons.,Here are the biggest unknowns the DealBook team will be watching as we cover business and the economy this year.,Venezuela claims to have more than 300 billion barrels in the ground but it is only producing about one million barrels a day.,,,,
2026-01-04,Colleen Keating chief executive of Planet Fitness wants them to do it in a “judgment-free zone.”,,,,,,,,,
2026-01-05,The Trump administration is lifting regulations and deal making is heating up. For Jamie Dimon being JPMorgan Chase’s chief executive was more lucrative in 2025 than ever.,It will take years and billions in investment to revitalize Venezuela’s oil industry and energy producers will likely be cautious before stepping in.,Beijing has lent billions to Caracas in recent decades and the fate of money it is owed is in question after the ouster of Venezuela’s leader.,The U.S. seizure of Venezuela’s president has governments executives and investors bracing for wide-reaching business and geopolitical fallout.,A larger proportion of new cars are being bought by affluent Americans as prices and interest rates for auto loans climb analysts said.,The energy sector of the S&P 500 rose 2.7 percent on Monday lifting the broader market.,Executives debated whether to allow the corporation to lie dormant after federal funding ended last year but decided against it.,The second-largest U.S. oil company which kept pumping oil in the country after others left could find it relatively easy to expand its operations if the political conditions there improve.,At the CES conference Jensen Huang the company’s chief executive said the more efficient and powerful chip would begin shipping later this year.,
2026-01-06,Deepfakes of Venezuela’s ousted president Nicolás Maduro flooded the internet after his capture in a new collision of breaking news and artificial intelligence.,The reactions online revealed a Chinese society divided: Some saw what happened in Venezuela as a playbook for seizing Taiwan while others warned about ideological rigidity.,Companies like Kairos Power are building new types of reactors with the encouragement of the Trump administration but their success is far from assured.,The lawsuit over the Defense Department’s new rules for journalists is headed for oral arguments in March.,Trump administration officials are pushing American companies to quickly start investing in Venezuela. But energy giants have some major concerns.,Mr. Welch worked to move the men’s magazine away from what he called “manly-man tropes.” His next role will be with Pharrell the men’s designer of Louis Vuitton.,The announcement that Peter Zaffino would step down as chief executive in June and become executive chairman sent the insurer’s stock tumbling.,It is unclear what if anything Venezuela would get in return for the oil which is worth somewhere between $1.8 billion and $3 billion at current market prices.,The funding is part of an A.I. frenzy as investors aggressively plow enormous sums into fast-growing start-ups at sky-high valuations.,
2026-01-07,Policies meant to lure importers to Hainan a resort island off China’s coast signal an opening up Beijing says. One expert calls it a “bait and switch.”,The central bank faces two major hurdles early on in 2026 that will determine the extent to which it operates free of political meddling.,Tokyo is concerned at signs that Beijing may be laying the groundwork to restrict access to the metals vital to manufacturing.,The board said the blockbuster deal it reached with Netflix last month posed less risk.,The president is again focused on acquiring the mineral-rich island. But lack of clarity about his goals and tactics is weighing on political and business leaders.,The Trump administration said it had an agreement with Venezuela’s government but the country’s state-owned oil company said negotiations were underway.,Alaska’s order its largest ever follows its acquisition of Hawaiian Airlines and is part of its plan to expand including overseas.,Companies like Exxon Mobil and ConocoPhillips say that Venezuela owes them billions of dollars for confiscating their assets two decades ago.,The family-owned company that operates the newspaper cited mounting losses and labor constraints. A final edition is expected on Sunday May 3.,The artificial intelligence start-up which competes with OpenAI is aiming to raise around $10 billion amid talk of a potential initial public offering.
2026-01-08,A friendly summit at New York’s City Hall with digital content creators and social media stars symbolized the new mayor’s attitude toward the changing news media.,Specialists have left the I.R.S. and audits have been abandoned since the president returned to office.,From talking computers to self-driving cars here are the trends to watch.,Regulators said they would look at whether the deal for Manus a Singapore start-up with Chinese roots complied with China’s export and investment rules.,President Trump appears committed to laying claim to Venezuelan oil for a long time. But there are plenty of reasons for U.S. businesses to be wary.,The monthly trade deficit continued to shrink in October after President Trump imposed sweeping tariffs on imports the latest data showed.,John Ternus a low-profile but influential executive at Apple could be next in line to replace the company’s longtime chief executive Tim Cook if he steps aside.,The request by a group of Congress members cites reporting by The Times and echoes a similar request by Democratic senators in September.,Polymarket users bet on whether the U.S. would invade Venezuela but the prediction market said the Venezuelan president’s capture did not constitute an invasion.,General Motors said it was writing down the value of battery and electric vehicle factories after changes in federal policy undercut demand.
